,SalePrice
1360,189000
1334,125000
443,172500
1002,232000
1077,138800
837,100000
1304,130000
304,295000
1211,164000
313,375000
149,115000
574,139000
50,177000
1140,139000
726,222000
833,167000
1115,318000
470,212000
971,173000
653,135000
399,241000
511,202665
320,342643
19,139000
684,221000
35,309000
902,180000
827,189000
1309,179200
407,177000
920,201000
537,111250
758,179400
1062,90000
245,241500
1127,259000
784,128000
489,86000
154,125000
961,272000
853,158000
625,160000
685,207500
569,135960
1399,137450
17,90000
127,87000
927,176000
980,178400
1431,143750
190,315000
1139,144000
992,187000
1425,142000
1218,80500
606,152000
180,177000
301,267000
496,430000
1258,190000
1222,143000
1204,153500
517,265000
1069,135000
476,208900
157,269500
16,149000
1072,91500
546,210000
658,97500
1193,165000
1019,213490
1223,137900
959,155000
1373,466500
283,244600
797,110000
225,112000
26,134800
437,119000
1419,223000
229,192500
37,153000
749,98000
1045,139600
469,187000
1245,178000
1434,160000
687,148800
1343,177000
639,264561
1261,128900
1158,235128
1217,229456
1328,256000
800,200000
160,162500
956,124000
1186,95000
821,93000
1237,195000
877,350000
913,145000
152,190000
1338,200000
509,124500
1135,102000
1251,171750
103,198900
586,130000
1380,58500
1143,80000
53,385000
151,372402
403,258000
1416,122500
207,141000
1381,237500
1122,112000
8,129900
1014,119200
1308,147000
1060,213500
452,204000
253,158000
896,106500
1378,83000
880,157000
1377,117000
623,168500
345,140200
1253,294000
262,151000
150,122000
472,148000
640,274000
1446,157900
1374,250000
550,140000
928,236500
488,160000
1321,72500
1171,163000
146,105000
402,108000
954,127500
1404,105000
659,167000
463,188700
186,173000
1147,174500
1224,184000
608,359100
143,204000
751,162000
981,336000
197,235000
883,118500
279,192000
293,235000
1329,176500
400,245500
122,136000
1207,200000
202,112000
835,128000
246,137000
1386,250000
1372,274300
1153,120500
384,240000
1288,278000
854,170000
219,167240
641,226000
1,181500
112,383970
698,138500
1393,163000
951,119900
1283,139000
1318,275000
441,118000
1136,119000
1256,301500
663,137500
1433,186500
1257,99900
1296,155000
317,270000
648,155000
709,109900
1282,150500
972,99500
627,153000
632,82500
1248,129500
1423,274970
1254,165400
1348,215000
795,171000
645,143250
1012,165000
556,141000
681,159434
577,164500
1109,280000
1266,122000
1183,120000
524,315750
1059,220000
540,315000
1194,158000
748,260400
1351,171000
484,132500
95,185000
1020,176000
563,185000
1264,181000
742,179000
863,132500
891,172500
1038,97000
206,143900
392,106500
794,194500
870,109500
397,169500
766,196500
1341,155000
1241,248328
1028,105000
642,345000
612,261500
960,116500
725,120500
683,285000
98,83000
804,118000
406,115000
502,140000
1071,154000
1056,185850
929,222000
779,135000
200,140000
134,180000
1051,200141
40,160000
1017,187500
230,148000
378,394432
288,122000
418,126000
391,215000
592,138000
1162,129000
1086,83500
647,155000
1152,230000
520,106250
64,219500
14,157000
1180,250000
1064,154000
492,172785
379,179000
187,135000
763,337000
216,210000
791,146800
1076,170000
878,148000
337,214000
719,128500
295,142500
1016,203000
1275,137000
455,175500
1457,266500
815,224900
269,148000
995,121600
201,171500
161,412500
729,103000
401,164990
702,361919
1129,140000
565,128000
1021,194000
1025,112500
1104,106000
205,180500
34,277500
775,162000
508,161000
1441,149300
1390,235000
91,98600
1363,156932
897,142953
564,268000
1369,232000
776,221500
241,110500
13,279500
315,188500
600,275000
387,125000
1297,140000
166,190000
840,140000
20,325300
646,98300
1154,201800
831,151000
1267,378500
562,108000
1422,136500
686,227875
957,132000
189,286000
975,165000
699,196000
510,164900
1082,192000
474,251000
856,147000
747,265979
252,173000
21,139400
1337,52500
459,110000
1184,186700
276,201000
955,145000
1215,125000
385,192000
805,227680
1437,394617
343,266000
769,538000
1332,100000
130,226000
871,200500
1123,118000
1396,160000
87,164500
330,119000
1238,142500
466,167000
121,100000
1044,278000
1095,176432
1130,135000
1294,115000
860,189950
1126,174000
